label,en,chs
LBL_DPCALCCLNFOUL,"Pressure drop, calculated (clean /fouled)",压降，计算（清洁/污损）。
LBL_DPXBRNRDESHR,Pressure drop across burner @ design heat release,燃烧器上的压降@设计放热量
LBL_DR,DR,医师
LBL_DRAFT,Draft,草案
LBL_DRAFTARCH,Draft @ Arch,草案@拱门
LBL_DRAFTAVAIL,Draft available,现有草案
LBL_DRAFTBRIDGEWALL,Draft @ bridgewall,草案 @ 桥头堡
LBL_DRAFTFLOOR,Draft @ floor,草案@地板
LBL_DRAFTFORCED,FORCED,被迫的
LBL_DRAFTINDUCED,INDUCED,诱导
LBL_DRAFTLOSS,Draft (air pressure) loss,吃水（空气压力）损失
LBL_DRAFTREL,Draft rel. arch @ 0.1 inH2O,在0.1 inH2O的情况下，起草相关的拱门
LBL_DRAFTTYPE,Draft type: forced / natural / induced,起风类型：强制/自然/诱导
LBL_DRAFTUNSPECIFIED,UNSPECIFIED,未说明
LBL_DRIVER,Driver,驱动程序
LBL_DU,DU,DU
LBL_DUCTS,Ducts,风道
LBL_DUKLERMAPFLOWREG,Dukler map flow regime,杜克勒地图流量制度
LBL_DUROPERPER,Duration of operating period,运行期
LBL_DUTY,Duty,职责
LBL_DUTYCNV,Duty absorbed by convection,通过对流吸收的义务
LBL_DUTYRAD,Duty absorbed by radiation,辐射吸收的义务
LBL_DUTYRAT,Duty ratio,负载率
LBL_DX,DX,DX
LBL_DXORG,DX relative to origin,相对于原点的DX
LBL_DY,DY,DY
LBL_DYORG,DY relative to origin,相对于原产地的DY
LBL_DZ,DZ,DZ
LBL_DZORG,DZ relative to origin,相对于原点的DZ
LBL_EDGESEALS,Edge seals,边缘密封
LBL_EFFAREA,Eff. area,有效面积
LBL_EFFECTAREA,Effective area,有效面积
LBL_EFFJETOPEN,Effective jet opening,有效喷射口
LBL_EFFLEN,Effective length,有效长度
LBL_EFFLHV,Efficiency (LHV),效率（LHV）。
LBL_EFFMEANTEMPDIFF,Effective mean temperature difference,有效平均温差
LBL_EFFOVERTEMPDIFF,Effective overall temperature difference,有效温差
LBL_EFFTEMP,Eff. temp,强度温度
LBL_EFFTUBELEN,Effective tube length,有效管长
LBL_EFFY,Efficiency,效率
LBL_ELASTDESPRES,Elastic design pressure,弹性设计压力
LBL_ELASTDESRES,Elastic design results,弹性设计结果
LBL_ELASTMOD,Elastic modulus,弹性模量
LBL_ELEMENT,Element,元素
LBL_ELETYPE,Element type,元素类型
LBL_EMISS,Emissivity,辐射率
LBL_EMISSREQ,Emission requirements,排放要求
LBL_EMISSSINK,Emissivity of sink,水槽的发射率
LBL_EMTD,EMTD,EMTD
LBL_ENBALPCTHEAT,"Energy Balance, % of Total Heat Available",能量平衡，占可用总热量的百分比
LBL_END,End,结束
LBL_ENDOFPERIOD,End of Period,期末
LBL_ENDOFRUN,EOR,EOR
LBL_ENDOFRUN2,End of Run,运行结束
LBL_ENDS,Ends,结束语
LBL_ENERGYBAL,Energy balance,能量平衡
LBL_ENHANCEDDPMULT,Enhanced pressure drop mult,增强压降多
LBL_ENHANCEDHTMULT,Enhanced heat transfer mult,增强传热多
LBL_ENTERING,Entering,进入
LBL_ENTHALPY,Enthalpy,焓
LBL_ENTRANCE,Entrance,入口处
LBL_ENVAREA,Envelope area,信封区域
LBL_EQUIDIA,Equivalent diameter,等效直径
LBL_EQUILEN,Equivalent length,等效长度
LBL_EQUISHEARSTR,Equivalent shear stress,等效剪切应力
LBL_EQUITEMP,Equivalent temperature,等效温度
LBL_EQUITEMPCALC,Equivalent temperature calculation,等效温度计算
LBL_EQUIVALENT,Equivalent,等价物
LBL_EXAIRDESHR,Excess air @ design heat release,多余的空气@设计放热
LBL_EXCESSAIR,Excess air,多余的空气
LBL_EXCHFLUIDVOL,Exchanger Fluid Volumes,容积
LBL_EXCHPERF,Exchanger Performance,热交换器性能
LBL_EXIT,Exit,退出
LBL_EXITPIPECHORATIO,Exit pipe choke ratio,出口管道扼流圈比率
LBL_EXITVERHEADHEI,Exit vertical header height,出口垂直标题高度
LBL_EXITVERPIPEFLOWREG,Exit Vertical Pipe Flow Regime (Estimated),出口垂直管道流量制度（估计值）
LBL_EXPLOSSTOWER,Expansion loss into tower,进入塔台的膨胀损失
LBL_EXPTUBELIFE,Expected tube life,预期的管子寿命
LBL_EXPVTWALLS,Exposed vertical walls,暴露的垂直墙面
LBL_EXTAREA,Extended area,扩展区域
LBL_EXTAREABUND,Extended area/bundle,扩展区/捆绑区
LBL_EXTAREAPERBUND,Extended area per bundle,每一捆的扩展面积
LBL_EXTAREAPERUNIT,Extended area per unit (effective),每单位扩展面积（有效）
LBL_EXTAREAUNIT,Extended area/unit (effective),扩展面积/单位（有效）
LBL_EXTENHTUBEGEO,Externally Enhanced Tube Geometry,外部增强型管子的几何形状
LBL_EXTLINING,Extent of lining,衬垫的范围
LBL_EXTRATIO,Extension ratio (total area / bare area),扩展率（总面积/裸露面积）
LBL_EXTSURFTUBENUM,Extended surface tubes: number,扩展表面管：数量
LBL_FACE,Face,脸部
LBL_FACEVEL,Face velocity,面部速度
LBL_FACTOR,Factor,因素
LBL_FACTXMINCRV,Factor times minimum curve,系数乘以最小曲线
LBL_FAIRMAPREG,Fair map regime,公平的地图制度
LBL_FALLFILM,Falling Film,坠落的电影
LBL_FANAREABLOCK,Fan area blockage,风扇区堵塞
LBL_FANDESCPOW,Fan Description and Fan Power,风扇描述和风扇功率
LBL_FANDRIEFF,Fan and drive efficiency,风扇和驱动器的效率
LBL_FANGEO,Fan Geometry,风扇的几何形状
LBL_FANGUARD,Fan guard,风扇护罩
LBL_FANPOWER,Driver (design/min. ambient),驱动器（设计/环境）
LBL_FANRATING,Fan Rating,风扇等级
LBL_FANRING,Fan ring,扇形环
LBL_FANRING15DEG,15 deg,15度
LBL_FANRING30DEG,30 deg,30度
LBL_FANRINGBELL,Bell,贝尔
LBL_FANRINGFLANGED,Flanged,法兰盘式
LBL_FANRINGSTRAIGHT,Straight,直线
LBL_FANRINGTYPE,Fan ring type,风扇环型
LBL_FANS,Fan(s),扇子(s)
LBL_FANSDATA,Fans Data,粉丝数据
LBL_FANSIZE,Fan Size,风扇尺寸
LBL_FANSPEED,Fan speed,风扇速度
LBL_FAPI530FIG1,F (per API 530 Figure 1),F (根据API 530图1)
LBL_FATALERR,Fatal errors,致命的错误
LBL_FATALMSGS,Fatal Messages,致命信息
LBL_FB,FB,基金会
LBL_FBOXBWTEMP,Firebox bridgewall temperature,火箱桥壁温度
LBL_FBOXHT,Firebox height,火箱高度
LBL_FBOXMON,Firebox Monitor (Box Heater),火箱监控器（箱式加热器）
LBL_FBOXTAB,Firebox Tables (Box Heater),火箱表（箱式加热器）
LBL_FCYLMON,Firebox Monitor (Cylindrical Heater),火箱显示器（圆柱形加热器）
LBL_FCYLTAB,Firebox Tables (Cylindrical Heater),火箱表(圆柱形加热器)
LBL_FE,FE,基金会
LBL_FEED,Feed,饲料
LBL_FFACT,f-Factor,f-Factor
LBL_FFACTORAB,f-Factor a and b,f-系数a和b
LBL_FGWALLS,Flue gas entering side walls,进入侧壁的烟气
LBL_FHTRDATASHT,Fired heater data sheet,燃烧的加热器数据表
LBL_FILM,Film,电影
LBL_FILMBOILH,Film boiling h,薄膜沸腾h
LBL_FILMCOEFBAREEXT,"Film coefficient, Bare/Extended",薄膜系数，裸露的/扩展的
LBL_FIN,Fin,翅片
LBL_FINPADMAIN,Fin pad - main fin,翅片垫 - 主翅
LBL_FINAL,Final,最后
LBL_FINALRES,Final Results,最终结果
LBL_FINALSNDMETTHK,Final sound metal thickness,最终健全的金属厚度
LBL_FINDATA,Fin Data,财务数据
LBL_FINDEN,Fin density,翅片密度
LBL_FINEFF,Fin Efficiency,翅片效率
LBL_FINGEO,Fin Geometry,翅片的几何形状
LBL_FINHEI,Fin height,翅片高度
LBL_FINMATERIAL,Fin material,翅片材料
LBL_FINNED,Finned,翅片式
LBL_FINROOT,Fin root,翅根
LBL_FINROOTDIA,Fin root diameter,翅根直径
LBL_FINS,fins,翅片
LBL_FINSPERLENGTH,Fins per unit length,每单位长度的鱼鳍
LBL_FINSPERLENGTH2,Fins/length,鳍/长度
LBL_FINTHICK,Fin thickness,翅片厚度
LBL_FINTHICKNESSBASE,Fin thickness at base,底部的翅片厚度
LBL_FINTHICKNESSTIP,Fin thickness at tip,顶端的翅片厚度
LBL_FINTIPTEMP,Fin tip temperature,翅尖温度
LBL_FINTYPE,Fin type,翅片类型
LBL_FINPAD12,Fin type - pad 1/2,翅片类型 - 垫1/2
LBL_FINPAD123,Fin type - pad 1/2/3,翅片类型 - 垫1/2/3
LBL_FINTYPENONE,None,无
LBL_FINTYPERECTANGULAR,Rectangular,长方形
LBL_FINTYPEROUND,Round,圆的
LBL_FINTYPEROUNDPLAIN,Plain round,普通圆形
LBL_FINTYPEROUNDSEG,Segmented round,分段式圆形
LBL_FINTYPEROUNDSTUDS,Round studs,圆形螺柱
LBL_FINTYPEDTS,Circular,循环
LBL_FIREDIR,Firing direction,射击方向
LBL_FIRGROUP,First group,第一组
LBL_FIRST,First,首先
LBL_FITALLOW,Fitting allowance,装配余量
LBL_FJAREB,fj=aRe^b,fj=aRe^b
LBL_FL,FL,FL
LBL_FLAMEDET,Flame detection,火焰检测
LBL_FLAMEDETECT,"Flame detection, type",火焰检测，类型
LBL_FLAMELEN,Flame length,火焰长度
LBL_FLAMELENDESHR,Flame length @ design heat release,火焰长度@设计释放热量
LBL_FLAMELENEQN,Flame Length =\nF * A * (Burner Duty) ** B,火焰长度 = nF * A * (燃烧器负载) ** B
LBL_FLAMESHAPE,"Flame shape (round, flat, etc.)",火焰形状（圆形、扁平等）
LBL_FLANGEMAT,Flange material,法兰盘材料
LBL_FLANGESIZE,Flange size and rating,法兰盘尺寸和额定值
LBL_FLANGESIZE2,Flange size / rating,法兰盘尺寸/额定值
LBL_FLOOR,Floor,地板
LBL_FLOORSURFACE,Floor surface,地板表面
LBL_FLOW,Flow,流程
LBL_FLOWAREA,Flow area,流动面积
LBL_FLOWAREAPAD1,Flow area - pad 1,流动区域 - 垫子1
LBL_FLOWAREAPAD2,Flow area - pad 2,流动区域 - 垫子2
LBL_FLOWAREAPAD3,Flow area - pad 3,流动区域 - 垫层3
LBL_FLOWAREAEFFLEN,Flow area - eff. length,流动面积-有效长度
LBL_FLOWCONF,Flow configuration,流量配置
LBL_FLOWCONFFIRHOTCHANN,"Flow configuration, first hot channel",流量配置，第一个热通道
LBL_FLOWCONFIG1STHCHAN,Flow configuration in first hot channel,第一个热通道的流量配置
LBL_FLOWCONFIGOVERALL,Flow configuration overall,流动配置整体
LBL_FLOWDISTMON,Flow Distribution Monitor,流量分布监测器
LBL_FLOWFRAC,Flow Fractions,流动分量
LBL_FLOWFRACHEATTRANS,Flow fractions for heat transfer,传热的流量分数
LBL_FLOWFRACVAP,Flow fractions for vapor phase,气相的流动分量
LBL_FLOWPATH,Flow path,流动路径
LBL_FLOWPATHACROSSPLATE,Flow path across plate,流过板块的路径
LBL_FLOWRATE,Flow rate,流速
LBL_FLOWREGPARAM,Flow regime param.,流动系统参数。
LBL_FLOWREGPARAMETER,Flow regime parameter,流动制度参数
LBL_FLOWVEL,Flow Velocities,流动速度
LBL_FLUEGAS,Flue Gas,烟道气
LBL_FLUEGASCMBPRES,Flue gas / combustion air pressure,烟气/燃烧空气压力
LBL_FLUEGASCMBTEMP,Flue gas / combustion air temperature,烟气/燃烧空气温度
LBL_FLUEGASCOEF,Flue Gas coefficient,烟气系数
LBL_FLUEGASCOND,Flue Gas Conditions,烟道气条件
LBL_FLUEGASEXIT,Flue Gas Properties leaving indicated stack element,离开指定烟囱元件的烟气特性
LBL_FLUEGASFEED,Flue Gas Feed,烟道气进气
LBL_FLUEGASFILM,Flue gas film coefficient,烟道气膜系数
LBL_FLUEGASFLOW,Flue gas flow monitor,烟气流量监测器
LBL_FLUEGASINLET,Flue Gas Inlet,烟道气入口
LBL_FLUEGASMON,Flue Gas Monitor,烟道气体监测仪
LBL_FLUEGASQUANT,Flue gas quantity,烟气量
LBL_FLUEGASROW,Flue Gas Properties leaving indicated convection tube row,离开指定对流管行的烟气特性
LBL_FLUEGASSAMP,Flue gas sample,烟气样品
LBL_FLUEGASINOUTT,Flue gas inlet/outlet temperature,烟气入口/出口温度
LBL_FLUEGASINOUTP,Flue gas inlet/outlet pressure,烟气入口/出口压力
LBL_FLUEGASTEMP,Flue gas temp.,烟道气温度。
LBL_FLUEGASTEMPIN,Flue gas temperature in,烟气温度在
LBL_FLUEGASTEMPLEAVING,Flue gas temperature leaving:,离开的烟气温度。
LBL_FLUEGASTEMPOUT,Flue gas temperature out,烟道气温度出
LBL_FLUEGASVEL,Flue gas mass velocity through convection section,通过对流部分的烟气质量速度
LBL_FLUID,Fluid,流体
LBL_FLUIDCOND,Fluid condition,流体状态
LBL_FLUIDDEN,Fluid density,流体密度
LBL_FLUIDFORBND,Tubeside Fluid for Stack Bundle,用于堆栈捆绑的管侧流体
LBL_FLUIDFORUNIT,Fluid for Unit,单位的流体
LBL_FLUIDINST,Fluidelastic Instability Check,流体弹性不稳定性检查
LBL_FLUIDINSTCONS,Fluidelastic instability constant,流体弹性不稳定常数
LBL_FLUIDINSTRAT,Fluidelastic instability ratio,流体弹性不稳定比率
LBL_FLUIDLEAKMTDCORR,Fluid leakage MTD correction,流体泄漏MTD校正
LBL_FLUIDNAME,Fluid name,流体名称
LBL_FLUIDPHASE,Fluid phase,流动相
LBL_FLUIDTEMP,Fluid temperature,流体温度
LBL_FLUXSINKZONE,Fluxes to Sink Zones,通向下沉区的通量
LBL_FORCEFLOWREB,Forced-flow reboiler,强制流再沸器
LBL_FORHVYOIL,(For heavy oil firing added 0.5 feet),(对于重油燃烧，增加0.5英尺）
LBL_FORWARD,Forward,前进
LBL_FOULFAC,Fouling factor,污损因子
LBL_FOULING,Fouling,犯规
LBL_FOULINOUT,"Fouling factor, Inside/Outside",污损因素，内部/外部
LBL_FOULLAY,Fouling layer,污损层
LBL_FOULLAYTHICK,Fouling layer thickness,污损层厚度
LBL_FOULRES,Fouling resistance,污垢热阻
LBL_FOULTHICK,Fouling thickness,结垢厚度
LBL_FOURVALUESPERPOINT,Four values printed  in pressure drop monitor per data point:,每个数据点在压降监测仪中打印四个数值。
LBL_FRACCONV,Fraction convection,馏分对流
LBL_FRACOPEN,Fraction open,打开的部分
LBL_FRACSINK,Fraction Sink,分数水槽
LBL_FRACSRCS,Fractional Sources,分数来源
LBL_FRACTIMERUPREG,Fraction of time in rupture regime,处于断裂状态的时间比例
LBL_FRACTION,Fraction,分数
LBL_FRACTSINK,Fract. Sink,分数。 水槽
LBL_FRACUP,Frac Up,裂解
LBL_FREESPCPLEN,Free space below plenum,储气罐下方的自由空间
LBL_FREQUENCY,Frequency,頻率
LBL_FRICFAC,Friction factor,摩擦系数
LBL_FRICFACMULT,Friction factor multiplier,摩擦系数乘数
LBL_FRICLOSS,Friction loss,摩擦损失
LBL_FRICLOSSFIT,Frictional loss in fittings,配件中的摩擦损失
LBL_FRICLOSSPIPE,Frictional loss in pipe,管道中的摩擦损失
LBL_FRICPRESSDROP,Frictional pressure drop,摩擦压降
LBL_FRICTION,Friction,摩擦力
LBL_FRICPAD1,Friction in pad 1,垫子1中的摩擦力
LBL_FRICPAD2,Friction in pad 2,垫子2的摩擦力
LBL_FRICPAD3,Friction in pad 3,垫子3的摩擦力
LBL_FRONT,Front,正面
LBL_FRONTEND,Front end,前端
LBL_FRONTHEAD,Front head,前面的头
LBL_FRONTHEADLOC,Front head location,前部头部位置
LBL_FRONTWALLT,Front wall temperature,前壁温度
LBL_FSTRSEALRODNO,No.,数量
LBL_FSTRSEALRODS,Passlane seal rods,分程密封杆
LBL_FUEL,Fuel,燃油
LBL_FUELAIRDILRATE,Fuel + Air + Diluent rate,燃料+空气+稀释剂率
LBL_FUELCHAR,Fuel characteristics,燃料特性
LBL_FUELEFFCALC,"Fuel efficiency calculated, % (LHV)",计算的燃料效率，%（LHV）。
LBL_FUELEFFGUAR,"Fuel efficiency guaranteed, % (LHV)",保证的燃料效率，% (LHV)
LBL_FUELGASCOMP,Fuel gas composition (mole %),燃料气体的组成（摩尔%)
LBL_FUELHHV,Fuel energy based on HHV,基于HHV的燃料能量
LBL_FUELLHV,Fuel energy based on LHV,基于LHV的燃料能量
LBL_FUELLHV2,Fuel (LHV),燃料(LHV)
LBL_FUELPRES,Fuel pressure,燃油压力
LBL_FUELPRESBRN,Fuel pressure available @ burner,燃烧器处的可用燃油压力
LBL_FUELPRESREQ,Fuel pressure required,所需的燃油压力
LBL_FUELRATE,Fuel rate,燃油率
LBL_FUELTEMPBRN,Fuel temperature @ burner,燃烧器处的燃料温度
LBL_FUELTYPE,Fuel type,燃料类型
LBL_FULLBAFFUBEND,Full baffle at U-bend,U型弯道处的全挡板
LBL_FULLSUPUBEND,Full support at U-Bend,在U-Bend的全面支持
LBL_FUTPERIOD,Future period,未来时期
LBL_FUTUREDAMAGE,Future Damage Evaluation,未来的损害评估
LBL_GALVREQ,Galvanizing requirements,镀锌要求
LBL_GAMMA,Gamma,伽玛
LBL_GAPVEL,Gap Velocity,间隙速度
LBL_GAS,Gas,燃气
LBL_GASFUELCHAR,Gas fuel characteristics,气体燃料特性
LBL_GASKETS,Gaskets,垫片
LBL_GASRADAT,Gas radiates at,气体辐射在
LBL_GASSPACE,Gas space,气体空间
LBL_GASSPACENUM,Gas space number,气体空间数
LBL_GASSPACEQBAL,Gas space energy balance,气体空间能量平衡
LBL_GASSPACES,Gas spaces,气体空间
LBL_GASSPACEWALL,Gas space wall,燃气空间墙
LBL_GASTEMP,Gas temperature,气体温度
LBL_GASTEMPMON,Gas Temperature Monitor,气体温度监测器
LBL_GASTYPE,Gas type,气体类型
LBL_GEN,General,一般
LBL_GENDATA,General data,一般数据
LBL_GEO,Geometry,几何学
LBL_GEODATA,Geometry data,几何数据
LBL_GRAYGASEMIS,Gray gas emissivity,灰气辐射率
LBL_GROUNDCLEAR,Ground clearance,离地间隙
LBL_GROUPMON,Group Monitor,集团监控
LBL_GROUPNO,Group #,组 #
LBL_GROUPNUM,Group number,组别编号
LBL_GROUPNUM2,Group Number,集团编号
LBL_GS1,GS1,GS1
LBL_GS2,GS2,GS2
LBL_GS3,GS3,GS3
LBL_HAILSCREEN,Hail screen,冰雹屏幕
LBL_HALFPLNRANG,Half planar angle,半平面角
LBL_HCESTOPTION,Hydrocarbon Estimation Option,油气估算选项
LBL_HCRATIO,H / C Ratio (By Weight),H/C比率（按重量计算）
LBL_HEADBOX,Header Box,标题框
LBL_HEADBOXES,Header boxes,标题框
LBL_HEADDEP,Header - depth,页眉--深度
LBL_HEADDEP2,Header depth,页眉深度
LBL_HEADERPIPEID,Header inside diameter,头部内径
LBL_HEADERPIPELEN,Header length,标头长度
LBL_HEADPIPE,Header Pipe,头管
LBL_HEADERPAD3,Header - pad 3,接头 - 垫3
LBL_HEADERFINPAD,Header - fin pad,接头 - 翅片垫
LBL_HEADERLOC,Header location,页眉位置
LBL_HEATABS,Heat absorption,吸热
LBL_HEATAVAILBRN,Heat available via burners,通过燃烧器提供热量
LBL_HEATBOX,Heat into box,加热入箱
LBL_HEATBRN,Heat release per burner,每个燃烧器的热量释放
LBL_HEATCAP,Heat capacity,热容量
LBL_HEATCONT,Heat content,热量含量
LBL_HEATDUTY,Heat Duty,热力值
LBL_HEATDUTYCALSPE,"Heat duty, Calculated/Specified",热负荷，计算/指定
LBL_HEATDUTYTOFLOWRATE,Heat duty/flow rate,热负荷/流速
LBL_HEATEFF,Heater efficiency,加热器效率
LBL_HEATERSECT,Heater section,加热器部分
LBL_HEATERSURF,Heater surface,加热器表面
LBL_HEATFLUX,Heat flux,热通量
LBL_HEATLOSS,Heat loss,热量损失
LBL_HEATPARAM,Heater parameters,加热器参数
LBL_HEATREL,Heat release,热量释放
LBL_HEATRELLHV,Heat release (LHV),热量释放（LHV）
LBL_HEATRELTOT,Heat release (Total),热量释放（总量）
LBL_HEATTRAN,Heat transfer,热传递
LBL_HEATTRANCOEFF,Heat transfer coefficient,传热系数
LBL_HEATTRANPARA,Heat Transfer Parameters,传热参数
LBL_HEATTRANPRESSDROPPARA,Heat Transfer and Pressure Drop Parameters,传热和压降参数
LBL_HEATTRANSAFFAC,Heat transfer safety factor,传热安全系数
LBL_HEATVAL,Heating value,热值
LBL_HEIABOSHELL,Height above shell,壳体以上的高度
LBL_HEICHANGE,Height change,高度变化
LBL_HEIGHT,Height,高度
LBL_HEIUNDINLETNOZZ,Height under inlet nozzle,进气口下的高度
LBL_HEIUNDNOZZ,Height under nozzle,喷头下的高度
LBL_HEIUNDOUTLETNOZZ,Height under outlet nozzle,出口喷嘴下的高度
LBL_HELICOREPROFILE,Helicore profile,Helicore简介
LBL_HELIXANGLE,Helix angle,螺旋角
LBL_HELICALLEAD,Helical lead,螺旋形导线
LBL_HHV,HHV,HHV
LBL_HIGHFINDPMETHOD,High-fin pressure drop method,高翅压降法
LBL_HIGHFINHTMETHOD,High-fin heat transfer method,高翅传热法
LBL_HINDOOR,Hinged door / bolted panel,铰链式门/螺栓式面板
LBL_HORIDISPORTCENT,Horizontal distance of port centers,港口中心的水平距离
LBL_HORIPORTCC,Horizontal port c-c,水平口c-c
LBL_HORZ,Horizontal,卧式
LBL_HORZ2,Horz.,卧式
LBL_HOT,Hot,热
LBL_HOTFACETEMP,"Hot face temperature, Design / Calculated",热面温度，设计/计算
LBL_HOTFILMCOEFF,Hot film coefficient,热膜系数
LBL_HOTFLUID,Hot fluid,热液
LBL_HOTIN,Hot Inlet,热进水口
LBL_HOTINFLOWDIR,Hot inlet flow direction,热入口流向
LBL_HOTLEGSPANPROFILE,Leg A Span Profiles Table,腿部A跨度型材表
LBL_HOTOUT,Hot Outlet,热销产品
LBL_HOTPASSES,Hot Passes,热门通行证
LBL_HOTPASSNO,Hot pass #,热传 #
LBL_HOTPASSNUM,Hot pass number,热传号
LBL_HOTPLATEWALLTEMP,Hot fluid plate wall temperature,热流体板壁温度
LBL_HOTREG,Hot regime,热门制度
LBL_HOTSIDE,Hotside,霍特塞德
LBL_HOTSIDE2,Hot side,热面
LBL_HOTSIDEDELTAP,Hotside delta P,热点三角洲P
LBL_HOTSIDEH,Hotside h,Hotside h
LBL_HOTUZARR,Hot U/Z arrangement,热门的U/Z安排
LBL_HOURS,Hours,小时
LBL_HRENTRYTYPE,Heat release entry type,热释放入口类型
LBL_HTABVGR,Height above grade,高于地面的高度
LBL_HTPARA,H. T. Parameters,H.T.参数
LBL_HTRCASETHK,Heater casing thickness,加热器外壳厚度
LBL_HTRHEATER,Height of heater,加热器的高度
LBL_HTRTEMPPROF,Heater Temperature Profile,加热器温度曲线
LBL_HTEFFLEN,HT effective length,HT有效长度
LBL_HWALLTEMP,Hot fluid tubewall temperature,热液管壁温度
LBL_HYDSTATPRES,Hydrostatic test pressure,静水试验压力
LBL_HZ,Hz,赫兹
LBL_HZ2,HZ,HZ
LBL_ID,ID,身份证
LBL_IGNMETH,Ignition method,点火方式
LBL_IGNPORT,Ignition port,点火口
LBL_IMPDATA,Impingement data,撞击数据
LBL_IMPDIANOZZ,Impingement diameter/nozzle,撞击直径/喷嘴
LBL_IMPLENWIDTH,Imp. length/width,印象中的长度/宽度
LBL_IMPPLATE,Impingement plate,撞击板
LBL_IMPDEVICE,Impingement device,撞击装置
LBL_IMPPRES,Impingement present,防冲挡板
LBL_IMPRODROWS,Impingement rod rows,撞击杆行
LBL_IMPSLEEVEROWS,Impingement sleeve rows,撞击套筒行
LBL_IN,In,在
LBL_INC,Increment,增量
LBL_INCLINE,Incline,坡度
LBL_INCLINE2,Incl.,包括。
LBL_INCMON,Incremental Monitor,增量监测器
LBL_INCREMENTS,Increments,增量
LBL_INFANGUARD,in fan guard,在风扇的保护下
LBL_INFOMSGS,Informative Messages,信息化的消息
LBL_INFORMATIVE,Informative,信息化
LBL_INHAILSCREEN,in hail screen,在冰雹屏幕
LBL_INITIAL,Initial,初始
LBL_INITSNDMETTHK,Initial sound metal thickness,初始健全的金属厚度
LBL_INLET,Inlet,进水口
LBL_INLETAIRVEL,Inlet Airside Velocities,进气口空侧速度
LBL_INLETAITCNTL,Inlet air control,进气口控制
LBL_INLETCHANNEND,Inlet at channel end,通道末端的进水口
LBL_INLETCOND,Inlet conditions,进气口条件
LBL_INLETDISTR,Inlet distributor,进气口分配器
LBL_INLETHEI,Inlet height,进气口高度
LBL_INLETID,Inlet inside diameter,进气口内径
LBL_INLETMAT,Inlet: material,进气口：材料
LBL_INLETNOZZLE,Inlet nozzle,进水口
LBL_INLETPIPE,Inlet Piping,进气管道
LBL_INLETPORTLOC,Inlet port locations,进水口位置
LBL_INLETPRESS,Inlet pressure,进口压力
LBL_INLETSPACING,Inlet spacing,距进口
LBL_INLETTCOLD,"Inlet T, Cold",进气口T，冷
LBL_INLETTEMP,Inlet temperature,进口温度
LBL_INLETTHOT,"Inlet T, Hot",进气口T，热
LBL_INLETTSHELL,"Inlet T, Shell",进气口T，外壳
LBL_INLETTTUBE,"Inlet T, Tube",进气口T，管
LBL_INLETVAPFRAC,Inlet vapor fraction,进气口蒸汽分量
LBL_INLETWTFRACVAPOR,Inlet weight fraction vapor,进气口重量分数蒸汽
LBL_INLETYCOLD,"Inlet Y, Cold",进气口Y，冷
LBL_INLETYHOT,"Inlet Y, Hot",进气口Y，热
LBL_INLETYSHELL,"Inlet Y, Shell",进气口Y，外壳
LBL_INLETYTUBE,"Inlet Y, Tube",进气口Y，管子
LBL_INLETZONE,Inlet zone,进水区
LBL_INLINE,Inline,在线式
LBL_INOUT,In/Out,输入/输出
LBL_INOUTP,Inlet/Outlet P,进口/出口P
LBL_INOUTPRES,Inlet/Outlet pressure,入口/出口压力
LBL_INOUTSPACING,Inlet/Outlet Spacing,进气口/出气口间距
LBL_INOUTT,Inlet/Outlet T,入口/出口T
LBL_INOUTTEMP,Inlet/Outlet temperature,入口/出口温度
LBL_INOUTY,Inlet/Outlet Y,入口/出口Y
LBL_INPAVG,Inlet P/Avg,进气口P/Avg
LBL_INPLANE,In-Plane,平面内
LBL_INPUTMAXVEL,Input maximum velocity,输入最大速度
LBL_INPUTMAXWALLTEMP,Input maximum wall temperature,输入最大壁温
LBL_INPUTMINVEL,Input minimum velocity,输入最小速度
LBL_INPUTMINWALLTEMP,Input minimum wall temperature,输入最低壁温
LBL_INPUTREPRINT,Input Reprint,输入重印
LBL_INRETBEND,Inside return bend?,内侧回弯？
LBL_INRUPTREG,In rupture regime - fraction of time,在断裂制度中--时间的一部分
LBL_INSCOKELAY,Inside coke layer,焦炭层内部
LBL_INSHEATLOSSIN,Q (Heat loss) in,Q (热损失) in
LBL_INSIDDIA,Inside diameter,内径
LBL_INSIDE,Inside,内部
LBL_INSIDEFILMCOEF,Inside film coefficient,内膜系数
LBL_INSIDEHTC,Inside heat transfer coefficient,内部传热系数
LBL_INSIDEWALLTEMP,Inside wall temperature,内墙温度
LBL_INSIDMETDIA,Inside metal diameter,金属内径
LBL_INSLONGBAFF,Insulated long baffle,绝缘的长挡板
LBL_INSLONGITUDINALBAFF,Insulated longitudinal baffle,绝缘的纵向挡板
LBL_INSLOSSCOEFEQN,Q = A + B*T + C*T*T,q=a+b*t+c*t*t
LBL_INSLOTAREA,Inlet slot area,进水槽面积
LBL_INSPROFILE,Insert profile,插入简介
LBL_INSSURFTEMP,Inside surface temperature,内表面温度
LBL_INSTCONN,Instrument connections,仪器连接
LBL_INSTEMPIN,T (Insulation inside surface temperature) in,T（保温层内表面温度）in
LBL_INSTUBEMET,Inside tube metal,内管金属
LBL_INTCOAT,Internal coating,内部涂层
